"","Country","Year.x","Code.x","Cost.of.Living.Index.x","Rent.Index","Health.Care.Index.x","Health.CareExp..Index","Quality.of.Life.Index","Family Planning","Live Births per Woman per Country","Annual Births per Country"
"89","Palestine",2020,"PSE",54.54,8.83,NA,NA,NA,NA,3.489,144176
"90","Panama",2020,"PAN",54.16,24.76,59.93,106.08,108.36,0.47,2.415,79571
"91","Paraguay",2020,"PRY",31.1,9.66,NA,NA,NA,0.67,2.383,143305
"92","Peru",2020,"PER",38.65,12.78,56.15,98.5,85.46,0.55,2.212,574987
"93","Philippines",2020,"PHL",37.63,9,67.47,120.67,85.37,0.4,2.49,2182501
"94","Poland",2020,"POL",40.04,15.67,61.01,109.36,141.83,NA,1.446,361779
"95","Portugal",2020,"PRT",49.52,21.81,71.88,130.79,162.91,NA,1.315,78491
"96","Puerto Rico",2020,"PRI",67.54,19.29,55.73,101.76,NA,NA,1.177,19718
"97","Qatar",2020,"QAT",64.04,47.44,73.3,133.07,162.29,0.34,1.827,26670
"98","Romania",2020,"ROU",35.31,10.05,55.06,96.89,132.44,0.51,1.64,183956
"99","Russia",2020,"RUS",39.21,11.36,57.59,101.55,102.31,0.55,1.832,1765743
"100","Rwanda",2020,"RWA",33.35,11.88,NA,NA,NA,0.48,3.926,397657
"101","Saudi Arabia",2020,"SAU",48.34,11.39,59.11,105.18,150.56,0.21,2.238,585170
"102","Serbia",2020,"SRB",35.72,9.08,51.27,92.17,116.3,0.18,1.441,81208
"103","Seychelles",2020,"SYC",71.59,32.34,NA,NA,NA,NA,2.414,1565
"104","Singapore",2020,"SGP",81.1,63.27,70.84,131.52,144.39,NA,1.223,49976
"105","Slovakia",2020,"SVK",44.46,16.11,60.02,108.64,152.53,NA,1.533,55643
"106","Slovenia",2020,"SVN",53.43,17.09,64.58,118.92,172.15,NA,1.619,19361
"107","Somalia",2020,"SOM",38.68,4.75,NA,NA,NA,0.14,5.885,660094
"108","South Africa",2020,"ZAF",42.87,16.61,64.14,115.76,131.97,0.54,2.358,1172060
"109","South Korea",2020,"KOR",78.18,22.86,81.97,149.94,139.02,NA,1.082,358793
"110","Spain",2020,"ESP",53.77,21.77,78.88,145.24,169.82,0.6,1.356,380395
"111","Sri Lanka",2020,"LKA",31.61,7.74,72.53,131.07,85.16,0.54,2.174,326419
"112","Suriname",2020,"SUR",43.14,7.79,NA,NA,NA,0.39,2.371,10587
"113","Sweden",2020,"SWE",69.85,25.9,69.23,126.86,175.95,NA,1.843,119651
"114","Switzerland",2020,"CHE",122.4,50.25,72.44,136.25,192.01,0.67,1.546,88511
"115","Syria",2020,"SYR",25.31,5.68,NA,NA,NA,0.38,2.734,420602
"116","Taiwan",2020,"TWN",61.37,16.42,86.71,159.66,143.23,NA,1.191,200005
"117","Tanzania",2020,"TZA",35.25,14.04,NA,NA,NA,0.32,4.773,2153054
"118","Thailand",2020,"THA",49.77,17.1,77.95,142.04,101.88,0.76,1.501,696526
"119","Trinidad And Tobago",NA,NA,53.7,17.26,54.73,100.89,NA,NA,NA,NA
"120","Tunisia",2020,"TUN",27.04,5.51,57.18,100.55,NA,0.44,2.151,195883
"121","Turkey",2020,"TUR",34.69,6.78,69.8,125.57,127.1,0.49,2.039,1300918
"122","Uganda",2020,"UGA",30.18,10.15,NA,NA,NA,0.36,4.703,1669841
"123","Ukraine",2020,"UKR",33.18,10.46,52.33,91.33,104.77,0.48,1.434,395731
"124","United Arab Emirates",2020,"ARE",61.98,41.07,67.04,123.91,156.67,NA,1.369,100021
"125","United Kingdom",2020,"GBR",67.28,29.85,74.46,136.57,162.71,0.84,1.743,771427
"126","United States",2020,"USA",71.05,40.32,69.27,127.3,172.11,0.68,1.772,3957544
"127","Uruguay",2020,"URY",51.04,14.43,66.28,119.62,125.98,NA,1.952,47274
"128","Uzbekistan",2020,"UZB",26.01,7.54,NA,NA,NA,0.62,2.377,677227
"129","Venezuela",2020,"VEN",27.17,6.81,39.66,69.14,NA,NA,2.23,508883
"130","Vietnam",2020,"VNM",38.34,13.57,57.7,100.69,87.48,0.66,2.046,1566556
"131","Zambia",2020,"ZMB",31.72,7.39,NA,NA,NA,0.48,4.496,653578
"132","Zimbabwe",2020,"ZWE",55.3,11.02,NA,NA,NA,0.66,3.46,431769
