"","Country","Code","Year","Annual Births per Country"
"9655","Martinique","MTQ",2019,3633
"9656","Martinique","MTQ",2020,3589
"9726","Mauritania","MRT",2019,150679
"9727","Mauritania","MRT",2020,152868
"9797","Mauritius","MUS",2019,12797
"9798","Mauritius","MUS",2020,12722
"9868","Mayotte","MYT",2019,7340
"9869","Mayotte","MYT",2020,7410
"9939","Melanesia","OWID_MNS",2019,288108
"9940","Melanesia","OWID_MNS",2020,290311
"10010","Mexico","MEX",2019,2206201
"10011","Mexico","MEX",2020,2192160
"10081","Micronesia (country)","FSM",2019,2584
"10082","Micronesia (country)","FSM",2020,2601
"10152","Middle Africa","",2019,6845950
"10153","Middle Africa","",2020,6966774
"10223","Middle-income countries","",2019,100945550
"10224","Middle-income countries","",2020,100514190
"10294","Moldova","MDA",2019,40119
"10295","Moldova","MDA",2020,39360
"10365","Mongolia","MNG",2019,75108
"10366","Mongolia","MNG",2020,73755
"10436","Montenegro","MNE",2019,7327
"10437","Montenegro","MNE",2020,7275
"10507","More Developed Regions","",2019,13270144
"10508","More Developed Regions","",2020,13187769
"10578","Morocco","MAR",2019,674504
"10579","Morocco","MAR",2020,668010
"10649","Mozambique","MOZ",2019,1131066
"10650","Mozambique","MOZ",2020,1152670
"10720","Myanmar","MMR",2019,941600
"10721","Myanmar","MMR",2020,939304
"10791","Namibia","NAM",2019,70238
"10792","Namibia","NAM",2020,70276
"10862","Nepal","NPL",2019,562730
"10863","Nepal","NPL",2020,562119
"10933","Netherlands","NLD",2019,172525
"10934","Netherlands","NLD",2020,173080
"11004","New Caledonia","NCL",2019,3953
"11005","New Caledonia","NCL",2020,3938
"11075","New Zealand","NZL",2019,59646
"11076","New Zealand","NZL",2020,59671
"11146","Nicaragua","NIC",2019,132276
"11147","Nicaragua","NIC",2020,131048
"11217","Niger","NER",2019,1067314
"11218","Niger","NER",2020,1098096
"11288","Nigeria","NGA",2019,7534528
"11289","Nigeria","NGA",2020,7639486
"11359","No income group available","",2019,48611
"11360","No income group available","",2020,48647
"11430","North Korea","PRK",2019,355317
"11431","North Korea","PRK",2020,355194
